Tweet Text;Tweet Datetime;Twitter @ Name;Place Info;Retweets;Language
Yo en mi local vendo lo que se me canta el orto. Y por eso no prohibo que la gente tenga un Huawei (no tengo fundas… https://t.co/CFaC6QAUlD;12/03/2021 3:05;Juancruzn15;No Registra - Latam;0;es
Este reloj inteligente de Huawei es tan bonito como un Apple Watch y lo tienes en Amazon por mucho menos https://t.co/FwzMYISHWu;12/03/2021 3:00;trendencias;No Registra - Latam;0;es
@ValuJim433 Yo apoyo en Deezer, es que mi cel no me permite tener Spotify, por aquello del pleito de Huawei con USA… https://t.co/f0zMtvTZ5E;12/03/2021 2:58;gaby_nuz_min;No Registra - Latam;0;es
RT @F0RJUM1N: por lo que veo tengo 1239 dias con seungmin espero q sea asi pq no puedo revisar mis historias anteriores jaja maldito huawei…;12/03/2021 2:57;MINTHROB;No Registra - Latam;1;es
@nach0lvp No le mientas a la gente solo para pelearme a mi, ahora tenés un Huawei;12/03/2021 2:56;hijadelF;No Registra - Latam;0;es
por lo que veo tengo 1239 dias con seungmin espero q sea asi pq no puedo revisar mis historias anteriores jaja maldito huawei!!;12/03/2021 2:56;F0RJUM1N;No Registra - Latam;1;es
Seguimos por #salud #huawei #runner #5k mejorando tiempo #instarunners #nike #DueleTodo🏃🏃🏃🏃 https://t.co/UiTWf9olM9;12/03/2021 2:54;jhondrumer;No Registra - Latam;0;es
primero en un call center en turnos de 6 a 2 y de 2 a 10. Después en Huawei, todo el día. Parce, esas situaciones a… https://t.co/5Wy6swfZtq;12/03/2021 2:54;eddymadrigall;No Registra - Latam;0;es
@CortinaTomas @flamarojo @rck110 @Telefonia_MX Creo que el principal problema que va a tener telefónica es adaptar… https://t.co/M37yok4gGQ;12/03/2021 2:46;Exbloguero;Hermosillo, Sonora;0;es
RT @HuaweiMobileMx: No les pasa que acaban de comprar el modelo más nuevo de HUAWEI FreeBuds y de pronto ya sacamos otro más nuevo. 🤡;12/03/2021 2:43;Sinmantul;No Registra - Latam;4;es
@natilongueira Cualquier Huawei desde el Nova 5 T hacia arriba;12/03/2021 2:41;plopezfelipe;No Registra - Latam;0;es
RT @HuaweiMobileCo: ¡Las noches con Huawei son las mejores!🌖✨. Compra tus dispositivos favoritos Huawei con los mejores precios solo en Noc…;12/03/2021 2:36;JMonroy68;No Registra - Latam;0;es
@cesarsalza @Huawei Los últimos diseños están siendo muy raros pero el que más destaca es el xiaomi m11 ultra por la pantallita trasera;12/03/2021 2:34;RoddyParrales3;No Registra - Latam;0;es
Huawei P50 será el primer smartphone con HarmonyOS preinstalado: abandonará Android por completo, según filtración… https://t.co/iPqnAxlZzV;12/03/2021 2:34;RoudoudouHirons;No Registra - Latam;0;es
RT @HuaweiMobileCo: ¡Las noches con Huawei son las mejores!🌖✨. Compra tus dispositivos favoritos Huawei con los mejores precios solo en Noc…;12/03/2021 2:28;diderg724;No Registra - Latam;1;es
"@juansbeatle @HoliMiPerro @GabrielSantosCD Yo tengo un Huawei de ""backup"" desde el 2016 y ahí está en perfectas con… https://t.co/SZknkho7Ux";12/03/2021 2:26;SCardenasS;No Registra - Latam;0;es
HUAWEI ME TIENES HASTA LA VERGA;12/03/2021 2:25;vlontjeva;No Registra - Latam;0;es
Este soy yo cuando llego donde trabaja mis amistades... Recuerdo que un amigo trabaja en Huawei y entraba a ver cos… https://t.co/0JKdbnoBW5;12/03/2021 2:20;allexd26;No Registra - Latam;0;es
"Estos son los smartphone de Huawei que cierran un ciclo de actualizaciones 
https://t.co/rSB1X1VNDy";12/03/2021 2:20;tecnocat01;No Registra - Latam;0;es
RT @HuaweiMobileMx: No les pasa que acaban de comprar el modelo más nuevo de HUAWEI FreeBuds y de pronto ya sacamos otro más nuevo. 🤡;12/03/2021 2:16;martinfuertemx;No Registra - Latam;4;es
@DanielM52462893 ¡Hola @DanielM52462893 ! Puedes conocer las especificaciones del Huawei Y8p a través de:… https://t.co/Rr2aDWh3JV;12/03/2021 2:12;HuaweiMobileCo;No Registra - Latam;0;es
RT @HuaweiMobileMx: No les pasa que acaban de comprar el modelo más nuevo de HUAWEI FreeBuds y de pronto ya sacamos otro más nuevo. 🤡;12/03/2021 2:10;M__e__l__o;No Registra - Latam;4;es
RT @SEP_mx: Con una aplicación móvil que resuelve necesidades sociales, Christian Arreola, egresado del @TecNM_MX, obtuvo el primer lugar e…;12/03/2021 2:06;lalojimjuarez;No Registra - Latam;56;es
En noviembre, Huawei lanzó el Mate Station S su primera computadora de escritorio al mercado chino, la cual ahora e… https://t.co/SNjIXvJRvR;12/03/2021 2:00;TodoDigitalCom;No Registra - Latam;0;es
No les pasa que acaban de comprar el modelo más nuevo de HUAWEI FreeBuds y de pronto ya sacamos otro más nuevo. 🤡;12/03/2021 2:00;HuaweiMobileMx;No Registra - Latam;4;es
Libera tu lado creativo y consigue una perspectiva fascinante con Huawei P40 Lite: https://t.co/tRdH2twzAW… https://t.co/sfZGCT2nQq;12/03/2021 2:00;ATTMx;No Registra - Latam;0;es
RT @LeyendasDelGdl: En semana de clásico... HOY nos visitará @ramon7ramirez en el Centro de Formación Leyendas del Guadalajara en el Club A…;12/03/2021 1:58;Doris_Gamero;No Registra - Latam;3;es
"RT @CIC_IPN_OFICIAL: Conoce las ventajas que hay para la #ComunidadCIC como miembro de la Ecosistema de Talentos Huawei 
https://t.co/xH8hh…";12/03/2021 1:55;ixbalank;No Registra - Latam;2;es
"@HuaweiMobileCo Donde se puede dirigir uno para comprar directo en Huawei??? Me interesa en Yp8.

Y tambien quiero… https://t.co/wSd8pXsMPN";12/03/2021 1:54;DanielM52462893;No Registra - Latam;0;es
"""#Tecnologia #Noticias: Dan certificación en ciberseguridad para tecnología 5G en Huawei"": https://t.co/B7tIL4V874";12/03/2021 1:50;robinsnoticias;No Registra - Latam;0;es
@beomiau_u Hola piau, te sugerimos reiniciar tu equipo, se recomienda hacer esto cada dos o tres días, ya que esto… https://t.co/9ewVgR5KS6;12/03/2021 1:47;HuaweiMobilePe;No Registra - Latam;0;es
RT @ElpiditoV: El yuma éste soñando conque Elon le ofrezca a la Dictadura acceso a Starlink, para mejorar el acceso a internet de las insti…;12/03/2021 1:47;snob_john;No Registra - Latam;2;es
India planea bloquear los equipos de Huawei por cuestiones de seguridad y espionaje https://t.co/fHL6k1FKn3;12/03/2021 1:46;tromepe;No Registra - Latam;0;es
@Xavier38082473 @HuaweiMobileCo Acaso @Huawei compartió el virus por APK, por alguna app, por su sistema, porfavor… https://t.co/slydkjmpBZ;12/03/2021 1:46;SERGIOR32772103;No Registra - Latam;0;es
RT @HuaweiMobileCo: ¡Las noches con Huawei son las mejores!🌖✨. Compra tus dispositivos favoritos Huawei con los mejores precios solo en Noc…;12/03/2021 1:41;marcelona21;No Registra - Latam;3;es
RT @HuaweiMobileCo: ¡Las noches con Huawei son las mejores!🌖✨. Compra tus dispositivos favoritos Huawei con los mejores precios solo en Noc…;12/03/2021 1:41;BlancaGTorresM1;No Registra - Latam;3;es
@tromepe HUAWEI ES UN RIESGO PARA TODOS LOS PAISES... LA SEGURIDAD NACIONAL DE TODOS ESTA EN RIESGO... EL PARTICO C… https://t.co/SSkG2XFbJO;12/03/2021 1:40;orionors;No Registra - Latam;0;es
"Mujeres, deporte extremo y Huawei: el trío perfecto del siglo XXI

Mientras te ejercitas, el HUAWEI WATCH FIT lleva… https://t.co/jq8etBxdRQ";12/03/2021 1:39;AdColima;No Registra - Latam;0;es
@marcos_137 Marcos, gracias por comunicarte a Huawei. Nos interesa comunicarnos contigo por favor envíanos un mensa… https://t.co/XZTNDCUkZ5;12/03/2021 1:38;HuaweiMobileMx;No Registra - Latam;0;es
@jacob_xalapa Jacob😉, con tu equipo Huawei📱 podrás disfrutar de Huawei App Gallery para descargar tus aplicaciones… https://t.co/C7PBb2OY4x;12/03/2021 1:36;Telcel;No Registra - Latam;0;es
Pues bien, mi Huawei se pasó parte del día con el técnico en Telcel. No funciona la cam frontal y cuesta $2700 arre… https://t.co/N9OHdG0Pcq;12/03/2021 1:34;heavy_angel;No Registra - Latam;0;es
"RT @caanmichelena: Recuerda que #LicenciaDigitalEC ya está disponible para su descarga gratuita en 📲: 

✅App Gallery (Huawei) https://t.co/…";12/03/2021 1:32;InfocentroOlmed;No Registra - Latam;91;es
Llevo dos días intentando cambiar cosas a la SD, gracias Huawei por tus actualizaciones de shit;12/03/2021 1:31;PunkyGirl54;No Registra - Latam;0;es
@AsiloOscuro @letrarium 😐 Tengo Huawei así que nada de google play services 😢;12/03/2021 1:31;DCapricornio_;No Registra - Latam;0;es
"Huawei: jajajajaja
Los productos de Apple: jajajajajajajajajajajajaja
El Covid-19: JAJAJAJAJJAJAJAJAJAJAJAJAJA https://t.co/FqRqQvxPxF";12/03/2021 1:31;demianvelandia;No Registra - Latam;0;es
El año pasado, India prohibió el uso de más de 100 aplicaciones chinas en su país. https://t.co/755oj1cALl;12/03/2021 1:30;tromepe;No Registra - Latam;0;es
@Telcel apesta el equipo Huawei Y9A, no se puede cargar el Play Store y la de ventas Huawei te dice que se pueden c… https://t.co/d9ns9p4AuP;12/03/2021 1:30;jacob_xalapa;No Registra - Latam;0;es
"8 Mejores teléfonos de negocios 2020

Los mejores teléfonos del mercado para usuarios de negocios. Mejores móviles… https://t.co/AgSm1qdmov";12/03/2021 1:30;aliaga88153012;No Registra - Latam;0;es
"“La revolución del 5G es tan amplia y profunda que impactará en todos los sectores de la economía de los países.""… https://t.co/6cnLfnHBrC";12/03/2021 1:25;josechtv;No Registra - Latam;0;es
"@Yurlay31 @fernandez_ecu ¡Que bestia!

Yo me hice viral con un iphone que vi en fb y iphone ni el adaptador del car… https://t.co/SWZZoim5bQ";12/03/2021 1:22;lanena_dh;No Registra - Latam;0;es
@CMonteroOficial En República Dominicana no podemos comprar tecnología de Huawei para la Red 5G, pero tuvimos que c… https://t.co/Rb89bZOJWN;12/03/2021 1:21;EnnioTerrero;No Registra - Latam;0;es
#Huawei tendría listo un PC desktop para lanzarse fuera de China  https://t.co/fvB6xl2P9c;12/03/2021 1:18;fabriballarino;No Registra - Latam;0;es
RT @xatakandroid: El Huawei P50 tendrá un extraño diseño y un módulo de cámara descomunal, según OnLeaks https://t.co/bXogrcdXhE;12/03/2021 1:16;es_molano;No Registra - Latam;2;es
@RecuerdosPeru Lo van a convertir en Huawei y el quiere ser iphone 🤣;12/03/2021 1:15;AnderBH91;No Registra - Latam;0;es
RT @xatakandroid: El Huawei P50 tendrá un extraño diseño y un módulo de cámara descomunal, según OnLeaks https://t.co/bXogrcdXhE;12/03/2021 1:15;colacojose;No Registra - Latam;2;es
RT @asambleapa: El presidente @castillero_me, junto a la H.D. @kayraharding, recibió la visita de Allen Chen y Vivian Junmin de Huawei, qui…;12/03/2021 1:10;CamaraIntpa;No Registra - Latam;6;es
@InfanteArgenisM Tengo el último Huawei mi amor el que salió en enero, así que si me voy para iPhone debe ser un 12;12/03/2021 1:07;DenisHdez25;No Registra - Latam;0;es
RT @HuaweiMobileCo: ¡Llegó Huaweek a Huawei Store y trae para ti increíbles promociones este mes! 🤩🥳Además, te otorgamos cupones especiales…;12/03/2021 1:05;es_molano;No Registra - Latam;1;es
@DenisHdez25 🙃🙃🙃 yo no paso de Huawei y tu anda por un 12;12/03/2021 1:04;InfanteArgenisM;No Registra - Latam;0;es
Comienzan las pruebas de 5G en Argentina con las principales empresas TIC https://t.co/Gp8mrO80VE #5G… https://t.co/AUQ8lFleA0;12/03/2021 1:04;NotiNettOk;No Registra - Latam;0;es
RT @infobae: India se encamina a bloquear Huawei por cuestiones de seguridad https://t.co/2dDpkdxUFq;12/03/2021 1:01;psfigoli;No Registra - Latam;3;es
El Huawei P50 tendrá un extraño diseño y un módulo de cámara descomunal, según OnLeaks https://t.co/bXogrcdXhE;12/03/2021 1:00;xatakandroid;No Registra - Latam;2;es
"#Mundo 🌎 @dpl_news AnalyTICs

Las restricciones a Huawei podrían reducir las inversiones globales en telecomunicaci… https://t.co/dg6YMShJ2g";12/03/2021 0:59;ASOTIC;No Registra - Latam;0;es
@PapaCandelo2323 Me quedo con mi HUAWEI.;12/03/2021 0:55;josemanueldelro;No Registra - Latam;0;es
RT @LeyendasDelGdl: En semana de clásico... HOY nos visitará @ramon7ramirez en el Centro de Formación Leyendas del Guadalajara en el Club A…;12/03/2021 0:55;Kikidelgado1;No Registra - Latam;3;es
Enacom inicia las pruebas de 5G en Argentina con Ericsson, Huawei y Nokia https://t.co/fQKw21LskR;12/03/2021 0:54;CostaLatuti;No Registra - Latam;0;es
@ladolcecami En este momento tengo un Huawei Mate 20 pro, he tenido muchos huawei y por lejos los modelos pro son otra cosa, por lejos!;12/03/2021 0:53;seba_sirius;No Registra - Latam;0;es
RT @dpl_news: #Argentina | El @ENACOMArgentina reunirá en un evento a @ericsson, @Huawei y @nokia, con el fin de realizar demostraciones or…;12/03/2021 0:52;dixieliano;No Registra - Latam;5;es
"RT @CIC_IPN_OFICIAL: Conoce las ventajas que hay para la #ComunidadCIC como miembro de la Ecosistema de Talentos Huawei 
https://t.co/xH8hh…";12/03/2021 0:52;iohacker;No Registra - Latam;2;es
@seba_sirius Seba, cual Huawei tenias? Ando buscando uno bueno pa foto;12/03/2021 0:43;ladolcecami;No Registra - Latam;0;es
RT @dpl_news: #Argentina | El @ENACOMArgentina reunirá en un evento a @ericsson, @Huawei y @nokia, con el fin de realizar demostraciones or…;12/03/2021 0:37;wtd_x;No Registra - Latam;5;es
RT @ENTERCO: El Huawei P50 sería el primero en llegar con HarmonyOS https://t.co/ZIE47YqPB5 #Android10 #bloqueoaHuawei #HarmonyOS;12/03/2021 0:36;ENTERCO;No Registra - Latam;3;es
#XatakAndroid | El Huawei P50 tendrá un extraño diseño y un módulo de cámara descomunal, según OnLeaks  https://t.co/Lv0LPKWK1Y;12/03/2021 0:35;android_esp;No Registra - Latam;0;es
Me compré un HUAWEI hace 6 días con su batería al 100% , ahora tengo 52%;12/03/2021 0:31;VivianaGrisel1;No Registra - Latam;0;es
"HUAWEI Y9 PRIME 2019 128 GB 💥
RD$ 14,995
✔Disponible en todas nuestras sucursales.
✔Servicio a domicilio.
¿Qué espe… https://t.co/Vj82fz82X3";12/03/2021 0:31;AmorelRD;No Registra - Latam;0;es
Llamativa la forma y llamativo el número de huecos para cámaras (en la era de la triple y cuádruple cámara trasera). https://t.co/94qHiAzeFR;12/03/2021 0:20;xataka;No Registra - Latam;0;es
@LipaJergui @Sofa_dont_exist Similar al Huawei, ahorita te muestro como.;12/03/2021 0:17;Expectationsmjl;No Registra - Latam;0;es
"Analizamos a fondo la beta de #HarmonyOS: el plan B de #Huawei es #Android disfrazado
https://t.co/n0odGRsjli";12/03/2021 0:15;vemedina;No Registra - Latam;0;es
Conoce las ventajas que hay para la #ComunidadCIC como miembro de la Ecosistema de Talentos Huawei… https://t.co/4uTWzs4ere;12/03/2021 0:12;CIC_IPN_OFICIAL;No Registra - Latam;2;es
@cesarsalza @Huawei Vaya modulo;12/03/2021 0:07;jordaan_ma;No Registra - Latam;0;es
Huawei Sound y Sound X sonido premium con tecnología Devialet https://t.co/VlysLpVX9N https://t.co/nkR5FQQFvM;12/03/2021 0:06;GeekApps_es;No Registra - Latam;0;es
Primera pista del diseño del Huawei P50 Pro: 📱🔋se filtran imágenes que muestran un extraño y masivo módulo de cámar… https://t.co/3er7lfRN1U;12/03/2021 0:05;siscotecnologia;No Registra - Latam;0;es
@geishuchrist Hay muchos que pierden su dignidad a costa de poder tener un Iphone, ¿en realidad vale la pena? Mi Hu… https://t.co/ytRKkEksbd;12/03/2021 0:03;DonQuij83758999;No Registra - Latam;0;es
Huawei P50 Pro: se filtran detalles del smartphone con inmensa cámara https://t.co/3aCsUGBZ9i;12/03/2021 0:01;Mag_ECpe;No Registra - Latam;0;es
Tu entrenador personal al alcance de tu mano. Comienza #TuVidaConectada y fitness con el nuevo #SmartWatchGT2 🚴🏋⌚… https://t.co/OhfuhB0rOm;12/03/2021 0:01;big_rousseau;No Registra - Latam;0;es
"Conoce los temas que son tendencia en la agenda de #DPLNews. 

👉Ericsson, Nokia y Huawei participarán en pruebas 5G… https://t.co/Jme9eYq6Wv";12/03/2021 0:01;dpl_news;No Registra - Latam;0;es
El Ente Nacional de Comunicaciones anunció que la semana próxima se reunirá con las empresas Ericsson, Huawei, Noki… https://t.co/Eha0R5ahnT;12/03/2021 0:00;HernanRozin;No Registra - Latam;0;es
Así de raro será el Huawei P50, según OnLeaks https://t.co/2rw7E5hcMb;12/03/2021 0:00;xatakamovil;No Registra - Latam;0;es
"RT @Alejand43364700: #FNANDROIDMATTERS
@Fortnite_ES @FortniteGame
huawei nova 5 t, 8 ram kirin 980
De verdad optimizen su juego @Fortnite_E…";11/03/2021 23:59;FNANDROIDMATTE1;No Registra - Latam;0;es
RT @MundoEConflicto: El Ente Nacional de Comunicaciones anunció que la semana próxima se reunirá con las empresas Ericsson, Huawei y Nokia…;11/03/2021 23:53;oliverhuayamave;No Registra - Latam;11;es
@Moigomez4 Maje sinceramente los últimos Samsungs y huawei podría atreverme a decir que pueden estar mejor que un i… https://t.co/Ix8qRaa1wo;11/03/2021 23:52;ManuelAguiilar_;No Registra - Latam;0;es
Estas herramientas son de gran utilidad tanto para alumnos como docentes y permiten mantenerse informado de horario… https://t.co/sUjGaAIrhs;11/03/2021 23:50;ALTINFOcl;No Registra - Latam;0;es
En este enlace se pueden leer las reseñas sobre nuestros #cursos #formación #illustraciencia #ilustracioncientifica… https://t.co/yGPDwunvVN;11/03/2021 23:45;illustraciencia;No Registra - Latam;0;es
Y es discutiendo sobre tener iPhone te hace mas gente que una persona que use (Samsung, Huawei, one plus etc..) es que están? 💀💩🧠🚮;11/03/2021 23:42;Yachsel;No Registra - Latam;0;es
RT @anamaroura: « ¿Tienes un celular de Huawei en la mano? Cuídalo mucho. En los próximos años podría ser en un raro objeto fuera de China …;11/03/2021 23:40;g_alvarez0;No Registra - Latam;4;es
Y yo pensando que el problema de las historias en Instagram era por mí celular. Quiero que sepas querido Huawei que… https://t.co/3xkG9jMxZE;11/03/2021 23:36;marielaracosta;No Registra - Latam;0;es
"Buen noticia ! Hay que bajar la dependencia de China a nivel mundial, en todas las áreas, en todos los rubros...

https://t.co/C67qGO7JDF";11/03/2021 23:32;cabvuy;No Registra - Latam;0;es
RT @MundoEConflicto: El Ente Nacional de Comunicaciones anunció que la semana próxima se reunirá con las empresas Ericsson, Huawei y Nokia…;11/03/2021 23:28;Kiin84076550;No Registra - Latam;11;es
¿Sabías que puedes vender recargas en tu negocio? ¿No?... no te preocupes ¡Nosotros de decimos cómo! Mándanos mensa… https://t.co/nXrKALLqWj;11/03/2021 23:26;siprel;No Registra - Latam;0;es
RT @MundoEConflicto: El Ente Nacional de Comunicaciones anunció que la semana próxima se reunirá con las empresas Ericsson, Huawei y Nokia…;11/03/2021 23:25;WladimirGodoy5;No Registra - Latam;11;es
